start_time,end_time,start_time_iso,end_time_iso,num_model_requests,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1778034180,1778034240,2026-05-06T02:23:00+00:00,2026-05-06T02:24:00+00:00,16.0,gpt-5.4-2026-03-05,False,incentivized-tier,11758.0,2896.0,0.0,11758.0,11758.0,2896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034240,1778034300,2026-05-06T02:24:00+00:00,2026-05-06T02:25:00+00:00,18.0,gpt-5.4-2026-03-05,False,incentivized-tier,12579.0,3172.0,0.0,12579.0,12579.0,3172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034300,1778034360,2026-05-06T02:25:00+00:00,2026-05-06T02:26:00+00:00,18.0,gpt-5.4-2026-03-05,False,incentivized-tier,12827.0,3309.0,0.0,12827.0,12827.0,3309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034360,1778034420,2026-05-06T02:26:00+00:00,2026-05-06T02:27:00+00:00,15.0,gpt-5.4-2026-03-05,False,incentivized-tier,11139.0,2890.0,0.0,11139.0,11139.0,2890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034420,1778034480,2026-05-06T02:27:00+00:00,2026-05-06T02:28:00+00:00,13.0,gpt-5.4-2026-03-05,False,incentivized-tier,8966.0,2375.0,0.0,8966.0,8966.0,2375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034420,1778034480,2026-05-06T02:27:00+00:00,2026-05-06T02:28:00+00:00,2.0,gpt-5.4-2026-03-05,False,default,1761.0,410.0,0.0,1761.0,1761.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034480,1778034540,2026-05-06T02:28:00+00:00,2026-05-06T02:29:00+00:00,15.0,gpt-5.4-2026-03-05,False,default,10423.0,2632.0,0.0,10423.0,10423.0,2632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034480,1778034540,2026-05-06T02:28:00+00:00,2026-05-06T02:29:00+00:00,3.0,gpt-5.4-2026-03-05,False,incentivized-tier,2004.0,523.0,0.0,2004.0,2004.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034540,1778034600,2026-05-06T02:29:00+00:00,2026-05-06T02:30:00+00:00,3.0,gpt-5.4-2026-03-05,False,incentivized-tier,2721.0,618.0,0.0,2721.0,2721.0,618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034540,1778034600,2026-05-06T02:29:00+00:00,2026-05-06T02:30:00+00:00,13.0,gpt-5.4-2026-03-05,False,default,9504.0,2395.0,0.0,9504.0,9504.0,2395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034600,1778034660,2026-05-06T02:30:00+00:00,2026-05-06T02:31:00+00:00,1.0,gpt-5.4-2026-03-05,False,incentivized-tier,676.0,182.0,0.0,676.0,676.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034600,1778034660,2026-05-06T02:30:00+00:00,2026-05-06T02:31:00+00:00,1.0,gpt-5.4-2026-03-05,False,default,715.0,185.0,0.0,715.0,715.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034660,1778034720,2026-05-06T02:31:00+00:00,2026-05-06T02:32:00+00:00,,,,,,,,,,,,,,,,,
1778034720,1778034780,2026-05-06T02:32:00+00:00,2026-05-06T02:33:00+00:00,11.0,gpt-5.4-2026-03-05,False,default,8268.0,2024.0,0.0,8268.0,8268.0,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034720,1778034780,2026-05-06T02:32:00+00:00,2026-05-06T02:33:00+00:00,2.0,gpt-5.4-2026-03-05,False,incentivized-tier,1366.0,363.0,0.0,1366.0,1366.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034780,1778034840,2026-05-06T02:33:00+00:00,2026-05-06T02:34:00+00:00,12.0,gpt-5.4-2026-03-05,False,default,8995.0,2186.0,0.0,8995.0,8995.0,2186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034780,1778034840,2026-05-06T02:33:00+00:00,2026-05-06T02:34:00+00:00,5.0,gpt-5.4-2026-03-05,False,incentivized-tier,3784.0,892.0,0.0,3784.0,3784.0,892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034840,1778034900,2026-05-06T02:34:00+00:00,2026-05-06T02:35:00+00:00,2.0,gpt-5.4-2026-03-05,False,incentivized-tier,1528.0,360.0,0.0,1528.0,1528.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034840,1778034900,2026-05-06T02:34:00+00:00,2026-05-06T02:35:00+00:00,15.0,gpt-5.4-2026-03-05,False,default,10981.0,2768.0,0.0,10981.0,10981.0,2768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034900,1778034960,2026-05-06T02:35:00+00:00,2026-05-06T02:36:00+00:00,15.0,gpt-5.4-2026-03-05,False,default,10418.0,2625.0,0.0,10418.0,10418.0,2625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034900,1778034960,2026-05-06T02:35:00+00:00,2026-05-06T02:36:00+00:00,2.0,gpt-5.4-2026-03-05,False,incentivized-tier,1329.0,351.0,0.0,1329.0,1329.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034960,1778035020,2026-05-06T02:36:00+00:00,2026-05-06T02:37:00+00:00,11.0,gpt-5.4-2026-03-05,False,default,7892.0,1969.0,0.0,7892.0,7892.0,1969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034960,1778035020,2026-05-06T02:36:00+00:00,2026-05-06T02:37:00+00:00,5.0,gpt-5.4-2026-03-05,False,incentivized-tier,3408.0,872.0,0.0,3408.0,3408.0,872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778035020,1778035080,2026-05-06T02:37:00+00:00,2026-05-06T02:38:00+00:00,13.0,gpt-5.4-2026-03-05,False,default,9554.0,2338.0,0.0,9554.0,9554.0,2338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778035020,1778035080,2026-05-06T02:37:00+00:00,2026-05-06T02:38:00+00:00,3.0,gpt-5.4-2026-03-05,False,incentivized-tier,2171.0,536.0,0.0,2171.0,2171.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778035080,1778035140,2026-05-06T02:38:00+00:00,2026-05-06T02:39:00+00:00,2.0,gpt-5.4-2026-03-05,False,default,1394.0,378.0,0.0,1394.0,1394.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778035080,1778035140,2026-05-06T02:38:00+00:00,2026-05-06T02:39:00+00:00,1.0,gpt-5.4-2026-03-05,False,incentivized-tier,706.0,184.0,0.0,706.0,706.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778035140,1778035200,2026-05-06T02:39:00+00:00,2026-05-06T02:40:00+00:00,,,,,,,,,,,,,,,,,
1778035200,1778035260,2026-05-06T02:40:00+00:00,2026-05-06T02:41:00+00:00,,,,,,,,,,,,,,,,,
1778035260,1778035320,2026-05-06T02:41:00+00:00,2026-05-06T02:42:00+00:00,,,,,,,,,,,,,,,,,
1778035320,1778035380,2026-05-06T02:42:00+00:00,2026-05-06T02:43:00+00:00,,,,,,,,,,,,,,,,,
